Category Name,Category Code,Subcategory Name,Variable Name,Variable Code,Geography,Units
Local Foods,LOCAL,Farms & Crop Acreage,"Orchard farms (% change), 2007 - 12",PCH_ORCHARD_FARMS_07_12,CNTY10,% change
Local Foods,LOCAL,Farms & Crop Acreage,"Orchard acres, 2007",ORCHARD_ACRES07,CNTY10,Acres
Local Foods,LOCAL,Farms & Crop Acreage,"Orchard acres, 2012",ORCHARD_ACRES12,CNTY10,Acres
Local Foods,LOCAL,Farms & Crop Acreage,"Orchard acres (% change), 2007 - 12",PCH_ORCHARD_ACRES_07_12,CNTY10,% change
Local Foods,LOCAL,Farms & Crop Acreage,"Orchard acres/1,000 pop, 2007",ORCHARD_ACRESPTH07,CNTY10,"Acres/1,000 pop"
Local Foods,LOCAL,Farms & Crop Acreage,"Orchard acres/1,000 pop, 2012",ORCHARD_ACRESPTH12,CNTY10,"Acres/1,000 pop"
Local Foods,LOCAL,Farms & Crop Acreage,"Orchard acres/1,000 pop (% change), 2007 - 12",PCH_ORCHARD_ACRESPTH_07_12,CNTY10,% change
Local Foods,LOCAL,Farms & Crop Acreage,"Berry farms, 2007",BERRY_FARMS07,CNTY10,Count
Local Foods,LOCAL,Farms & Crop Acreage,"Berry farms, 2012",BERRY_FARMS12,CNTY10,Count
Local Foods,LOCAL,Farms & Crop Acreage,"Berry farms (% change), 2007 - 12",PCH_BERRY_FARMS_07_12,CNTY10,% change
Local Foods,LOCAL,Farms & Crop Acreage,"Berry acres, 2007",BERRY_ACRES07,CNTY10,Acres
Local Foods,LOCAL,Farms & Crop Acreage,"Berry acres, 2012",BERRY_ACRES12,CNTY10,Acres
Local Foods,LOCAL,Farms & Crop Acreage,"Berry acres (% change), 2007 - 12",PCH_BERRY_ACRES_07_12,CNTY10,% change
Local Foods,LOCAL,Farms & Crop Acreage,"Berry acres/1,000 pop, 2007",BERRY_ACRESPTH07,CNTY10,"Acres/1,000 pop"
Local Foods,LOCAL,Farms & Crop Acreage,"Berry acres/1,000 pop, 2012",BERRY_ACRESPTH12,CNTY10,"Acres/1,000 pop"
Local Foods,LOCAL,Farms & Crop Acreage,"Berry acres/1,000 pop (% change), 2007 - 12",PCH_BERRY_ACRESPTH_07_12,CNTY10,% change
Local Foods,LOCAL,Farms & Crop Acreage,"Small slaughterhouse facilities, 2007",SLHOUSE07,CNTY10,Count
Local Foods,LOCAL,Farms & Crop Acreage,"Small slaughterhouse facilities, 2012",SLHOUSE12,CNTY10,Count
Local Foods,LOCAL,Farms & Crop Acreage,"Small slaughterhouse facilities (% change), 2007 - 12",PCH_SLHOUSE_07_12,CNTY10,% change
Local Foods,LOCAL,Farms & Crop Acreage,"Greenhouse vegetable and fresh herb farms, 2007",GHVEG_FARMS07,CNTY10,Count
Local Foods,LOCAL,Farms & Crop Acreage,"Greenhouse vegetable and fresh herb farms, 2012",GHVEG_FARMS12,CNTY10,Count
Local Foods,LOCAL,Farms & Crop Acreage,"Greenhouse vegetable and fresh herb farms (% change), 2007 - 12",PCH_GHVEG_FARMS_07_12,CNTY10,% change
Local Foods,LOCAL,Farms & Crop Acreage,"Greenhouse veg and fresh herb sq feet, 2007",GHVEG_SQFT07,CNTY10,Sq ft
Local Foods,LOCAL,Farms & Crop Acreage,"Greenhouse veg and fresh herb sq feet, 2012",GHVEG_SQFT12,CNTY10,Sq ft
Local Foods,LOCAL,Farms & Crop Acreage,"Greenhouse veg and fresh herb sq feet (% change), 2007 - 12",PCH_GHVEG_SQFT_07_12,CNTY10,% change
Local Foods,LOCAL,Farms & Crop Acreage,"Greenhouse veg and fresh herb sq feet/1,000 pop, 2007",GHVEG_SQFTPTH07,CNTY10,"Sq ft/1,000 pop"
Local Foods,LOCAL,Farms & Crop Acreage,"Greenhouse veg and fresh herb sq feet/1,000 pop, 2012",GHVEG_SQFTPTH12,CNTY10,"Sq ft/1,000 pop"
Local Foods,LOCAL,Farms & Crop Acreage,"Greenhouse veg and fresh herb sq feet/1,000 pop (% change), 2007 - 12",PCH_GHVEG_SQFTPTH_07_12,CNTY10,% change
Local Foods,LOCAL,Other Local Food Outlets,"Food hubs, 2016",FOODHUB16,CNTY10,Count
Local Foods,LOCAL,Other Local Food Outlets,"CSA farms, 2007",CSA07,CNTY10,Count
Local Foods,LOCAL,Other Local Food Outlets,"CSA farms, 2012",CSA12,CNTY10,Count
Local Foods,LOCAL,Other Local Food Outlets,"CSA farms (% change), 2007 - 12",PCH_CSA_07_12,CNTY10,% change
Local Foods,LOCAL,Other Local Food Outlets,"Agritourism operations, 2007",AGRITRSM_OPS07,CNTY10,Count
Local Foods,LOCAL,Other Local Food Outlets,"Agritourism operations, 2012",AGRITRSM_OPS12,CNTY10,Count
Local Foods,LOCAL,Other Local Food Outlets,"Agritourism operations (% change), 2007 - 12",PCH_AGRITRSM_OPS_07_12,CNTY10,% change
Local Foods,LOCAL,Other Local Food Outlets,"Agritourism receipts, 2007",AGRITRSM_RCT07,CNTY10,Dollars
Local Foods,LOCAL,Other Local Food Outlets,"Agritourism receipts, 2012",AGRITRSM_RCT12,CNTY10,Dollars
Local Foods,LOCAL,Other Local Food Outlets,"Agritourism receipts (% change), 2007 - 12",PCH_AGRITRSM_RCT_07_12,CNTY10,% change
Local Foods,LOCAL,Other Local Food Outlets,"Farm to school program, 2009",FARM_TO_SCHOOL09,CNTY10,Classification
Local Foods,LOCAL,Other Local Food Outlets,"Farm to school program, 2013",FARM_TO_SCHOOL13,CNTY10,Classification
Health and Physical Activity,HEALTH,Health,"Adult diabetes rate, 2008",PCT_DIABETES_ADULTS08,CNTY10,Percent
Health and Physical Activity,HEALTH,Health,"Adult diabetes rate, 2013",PCT_DIABETES_ADULTS13,CNTY10,Percent
Health and Physical Activity,HEALTH,Health,"Adult obesity rate, 2008",PCT_OBESE_ADULTS08,CNTY10,Percent
Health and Physical Activity,HEALTH,Health,"Adult obesity rate, 2013",PCT_OBESE_ADULTS13,CNTY10,Percent
Health and Physical Activity,HEALTH,Physical Activity,"High schoolers physically active (%), 2015*",PCT_HSPA15,CNTY10,Percent
Health and Physical Activity,HEALTH,Physical Activity,"Recreation & fitness facilities, 2009",RECFAC09,CNTY10,Count
Health and Physical Activity,HEALTH,Physical Activity,"Recreation & fitness facilities, 2014",RECFAC14,CNTY10,Count
Health and Physical Activity,HEALTH,Physical Activity,"Recreation & fitness facilities (% change), 2009-14",PCH_RECFAC_09_14,CNTY10,% change
Health and Physical Activity,HEALTH,Physical Activity,"Recreation & fitness facilities/1,000 pop, 2009",RECFACPTH09,CNTY10,"# per 1,000 pop"
Health and Physical Activity,HEALTH,Physical Activity,"Recreation & fitness facilities/1,000 pop, 2014",RECFACPTH14,CNTY10,"# per 1,000 pop"
Health and Physical Activity,HEALTH,Physical Activity,"Recreation & fitness facilities/1,000 pop (% change), 2009-14",PCH_RECFACPTH_09_14,CNTY10,% change
Socioeconomic Characteristics,SOCIOECONOMIC,Race & Age,"% White, 2010",PCT_NHWHITE10,CNTY10,Percent
Socioeconomic Characteristics,SOCIOECONOMIC,Race & Age,"% Black, 2010",PCT_NHBLACK10,CNTY10,Percent
Socioeconomic Characteristics,SOCIOECONOMIC,Race & Age,"% Hispanic, 2010",PCT_HISP10,CNTY10,Percent
Socioeconomic Characteristics,SOCIOECONOMIC,Race & Age,"% Asian, 2010",PCT_NHASIAN10,CNTY10,Percent
Socioeconomic Characteristics,SOCIOECONOMIC,Race & Age,"% American Indian or Alaska Native, 2010",PCT_NHNA10,CNTY10,Percent
Socioeconomic Characteristics,SOCIOECONOMIC,Race & Age,"% Hawaiian or Pacific Islander, 2010",PCT_NHPI10,CNTY10,Percent
Socioeconomic Characteristics,SOCIOECONOMIC,Race & Age,"% Population 65 years or older, 2010",PCT_65OLDER10,CNTY10,Percent
Socioeconomic Characteristics,SOCIOECONOMIC,Race & Age,"% Population under age 18, 2010",PCT_18YOUNGER10,CNTY10,Percent
Socioeconomic Characteristics,SOCIOECONOMIC,Income Level,"Median household income, 2015 (not /capita but dummy-coded)",MEDHHINC15,CNTY10,Dollars/capita
Socioeconomic Characteristics,SOCIOECONOMIC,Income Level,"Poverty rate, 2015",POVRATE15,CNTY10,Percent
Socioeconomic Characteristics,SOCIOECONOMIC,Income Level,"Persistent-poverty counties, 2010",PERPOV10,CNTY10,Legend
Socioeconomic Characteristics,SOCIOECONOMIC,Income Level,"Child poverty rate, 2015",CHILDPOVRATE15,CNTY10,Percent
Socioeconomic Characteristics,SOCIOECONOMIC,Income Level,"Persistent-child-poverty counties, 2010",PERCHLDPOV10,CNTY10,Legend
Socioeconomic Characteristics,SOCIOECONOMIC,Other,"Metro/nonmetro counties, 2010",METRO13,CNTY10,Legend
Socioeconomic Characteristics,SOCIOECONOMIC,Other,"Population-loss counties, 2010",POPLOSS10,CNTY10,Legend
